,Model,Classifier,Parameters,AUC-ROC,Accuracy,Prec@5,Prec@10,Prec@20,Rec@5,Rec@10,Rec@20,F@5,F@10,F@20
          verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",0.462776368,0.614754098,0,1,0.925925926,0,0.272727273,0.757575758,0,0.428571429,0.833333333

22,TR:2000-2003&TS:2004_LR_Standardized,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,

          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,

          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,

          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",0.407683943,0.647540984,1,0.705882353,0.390243902,0.5,0.705882353,0.761904762,0.666666667,0.705882353,0.516129032

23,TR:2000-2003&TS:2004_LR_Standardized,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,

          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,

          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,

          verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",0.419717289,0.647540984,1,0.352941176,0.365853659,0.5,0.545454545,0.75,0.666666667,0.428571429,0.491803279

24,TR:2000-2003&TS:2004_LR_Standardized,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,

          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,

          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,

          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l1'}",0.358970642,0.651639344,0,0.416666667,0.388888889,0,0.384615385,0.636363636,0,0.4,0.482758621

25,TR:2000-2003&TS:2004_LR_Standardized,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,

          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=1,

          penalty='l2', random_state=None, solver='liblinear', tol=0.0001,

          verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l2'}",0.370714027,0.663934426,0,0.222222222,0.151515152,0,0.153846154,0.3125,0,0.181818182,0.204081633

26,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.651721638,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

27,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.675570859,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

28,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.738999638,0.635245902,1,1,0.541666667,1,1,1,1,1,0.702702703

29,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.653570134,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

30,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.625842697,0.635245902,0,0,0.166666667,0,0,1,0,0,0.285714286

31,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.676440739,0.635245902,0,0,0.4375,0,0,1,0,0,0.608695652

32,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.261036607,0.635245902,0,0,0.166666667,0,0,1,0,0,0.285714286

33,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.647915912,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

34,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.667524465,0.62704918,1,1,0.657894737,0.2,0.636363636,0.757575758,0.333333333,0.777777778,0.704225352

35,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.645596231,0.62704918,0,0,0.173913043,0,0,1,0,0,0.296296296

36,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.694599493,0.655737705,0.428571429,0.421052632,0.511627907,0.375,0.615384615,0.814814815,0.4,0.5,0.628571429

37,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.655164915,0.635245902,0,0,0.166666667,0,0,1,0,0,0.285714286

38,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.720659659,0.62704918,0,0,0,0,0,0,0,0,0

39,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.667596955,0.62704918,0,0,0.413043478,0,0,1,0,0,0.584615385

40,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.657919536,0.635245902,0,0,1,0,0,1,0,0,1

41,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'gini', 'max_depth': 50, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.669300471,0.635245902,0,0,0.333333333,0,0,1,0,0,0.5

42,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.606089163,0.524590164,0,0,0.619047619,0,0,1,0,0,0.764705882

43,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.667524465,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

44,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.658535701,0.635245902,0,0,0.395833333,0,0,1,0,0,0.567164179

45,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.656034795,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

46,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}",0.611743385,0.524590164,0,0,0.476190476,0,0,1,0,0,0.64516129

47,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.651540413,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

48,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.605291772,0.655737705,0,0.421052632,0.209302326,0,0.615384615,0.642857143,0,0.5,0.315789474

49,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.651794128,0.635245902,0,0,0.208333333,0,0,1,0,0,0.344827586

50,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

           n_estimators=100, n_jobs=-1, oob_score=False, random_state=None,

           verbose=0, warm_start=False)","{'criterion': 'entropy', 'max_depth': 50, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}",0.60101486,0.62704918,0,0,1,0,0,1,0,0,1

51,TR:2000-2003&TS:2004_ET_Standardized,"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='entropy',

           max_depth=50, max_features='log2', max_leaf_nodes=None,

           min_impurity_split=1e-07, min_samples_leaf=1,

           min_samples_split=10, min_weight_fraction_leaf=0.0,

